Listing ID,Listing Title,Page Name,Amount Per Stay
7840933,Level Chicago - River North,level-chicago-grand-river-north,-
265315,Residence Inn by Marriott Chicago Downtown/River North,residence-inn-chicago-downtown-river-north,-
59571,Best Western Chicago Downtown-River North,b-w-river-north-chicago-illinois,-
783324,Godfrey Hotel Chicago,godfrey-chicago,-
181867,"Holiday Inn Hotel & Suites Chicago - Downtown, an IHG Hotel",holiday-inn-chicago,-
400626,La Quinta by Wyndham Chicago Downtown,la-quinta-inn-chicago,-
56275,The Whitehall Hotel - BW Premier Collection,the-whitehall,-
181872,"Crowne Plaza - Chicago West Loop, an IHG Hotel",crown-plaza,-
2173807,Cambria Hotel Chicago Loop - Theatre District,cambria-suites,-
46687,Hyatt Regency Chicago,hyatt-regency-chicago,-
177574,Hotel Felix,felix,-
